id,slug,name,stage,attribute,element,memory,base_hp,base_atk,base_def,base_sp_atk,base_sp_def,base_speed,skills,locations,evolves_to,devolves_to,notes
0001,koromon,Koromon,In-Training,Free,Neutral,2,30,25,20,22,20,35,Bubble Blow,Nursery Area,"[{""target"":""agumon"",""req"":{""level"":6}}]",[],Fresh Digimon from Agumon line
0002,agumon,Agumon,Rookie,Vaccine,Fire,4,55,62,45,40,40,55,Pepper Breath;Claw Swipe;Baby Flame,Shinjuku;Digital Park,"[{""target"":""greymon"",""req"":{""level"":15}}]","[{""target"":""koromon""}]",Popular fire-type Digimon
0003,greymon,Greymon,Champion,Vaccine,Fire,8,85,95,75,60,70,65,Mega Flame;Tail Whip;Great Horns Attack,Digital Highlands;Old Canyon,"[{""target"":""metalgreymon"",""req"":{""level"":30}}]","[{""target"":""agumon""}]",Powerful dinosaur Digimon
0004,metalgreymon,MetalGreymon,Ultimate,Vaccine,Fire,12,105,120,95,85,90,75,Giga Destroyer;Trident Revolver;Metal Slash,Mechanical Factory;Server Desert,"[{""target"":""wargreymon"",""req"":{""level"":45}}]","[{""target"":""greymon""}]",Cyborg dinosaur with missiles
0005,wargreymon,WarGreymon,Mega,Vaccine,Fire,20,130,140,115,100,110,95,Gaia Force;Brave Shield;Terra Force,Terminal Tower;Ancient Ruins,"[]","[{""target"":""metalgreymon""}]",Ultimate warrior with Dramon Killers
0006,tsunomon,Tsunomon,In-Training,Free,Neutral,2,28,22,25,24,23,32,Bubble Blow,Nursery Area,"[{""target"":""gabumon"",""req"":{""level"":6}}]",[],Horn-headed In-Training Digimon
0007,gabumon,Gabumon,Rookie,Data,Ice,4,52,58,50,48,45,52,Blue Blaster;Petit Fire;Horn Attack,Shinjuku;Ice Fields,"[{""target"":""garurumon"",""req"":{""level"":15}}]","[{""target"":""tsunomon""}]",Reptile wearing wolf pelt
0008,garurumon,Garurumon,Champion,Vaccine,Ice,8,82,90,78,65,68,72,Howling Blaster;Freeze Fang;Ice Claw,Ice Fields;Frozen Mountain,"[{""target"":""weregarurumon"",""req"":{""level"":30}}]","[{""target"":""gabumon""}]",Wolf Digimon with ice powers
0009,weregarurumon,WereGarurumon,Ultimate,Vaccine,Ice,12,102,115,98,88,92,82,Wolf Claw;Freeze Fang;Garuru Kick,Frozen Mountain;Northern Peaks,"[{""target"":""metalgarurumon"",""req"":{""level"":45}}]","[{""target"":""garurumon""}]",Werewolf warrior Digimon
0010,metalgarurumon,MetalGarurumon,Mega,Data,Ice,20,128,135,120,105,115,100,Cocytus Breath;Ice Wolf Claw;Garuru Tomahawk,Terminal Tower;Ancient Ruins,"[]","[{""target"":""weregarurumon""}]",Cyborg wolf with ice missiles
0011,motimon,Motimon,In-Training,Free,Neutral,2,32,20,28,26,25,30,Bubble Blow,Nursery Area,"[{""target"":""tentomon"",""req"":{""level"":6}}]",[],Larva Digimon
0012,tentomon,Tentomon,Rookie,Vaccine,Electric,4,58,52,55,50,52,48,Super Shocker;Talon Attack;Rolling Guard,Digital Park;Electric Town,"[{""target"":""kabuterimon"",""req"":{""level"":15}}]","[{""target"":""motimon""}]",Ladybug-like insect Digimon
0013,kabuterimon,Kabuterimon,Champion,Vaccine,Electric,8,88,85,82,75,78,62,Mega Blaster;Horn Buster;Beetle Horn,Electric Town;Power Plant,"[{""target"":""megakabuterimon"",""req"":{""level"":30}}]","[{""target"":""tentomon""}]",Rhinoceros beetle Digimon
0014,megakabuterimon,MegaKabuterimon,Ultimate,Vaccine,Electric,12,108,105,105,95,100,70,Horn Buster Kai;Mega Blaster;Dynamo Spark,Power Plant;Electric Zone,"[{""target"":""herculeskabuterimon"",""req"":{""level"":45}}]","[{""target"":""kabuterimon""}]",Giant beetle with enhanced power
0015,herculeskabuterimon,HerculesKabuterimon,Mega,Vaccine,Electric,20,135,125,130,110,120,75,Giga Blaster;Mega Electro Shocker;Horn Buster Omega,Terminal Tower;Electric Maze,"[]","[{""target"":""megakabuterimon""}]",Ultimate insect warrior
0016,tanemon,Tanemon,In-Training,Free,Neutral,2,35,18,22,28,26,28,Bubble Blow,Nursery Area,"[{""target"":""palmon"",""req"":{""level"":6}}]",[],Plant bulb Digimon
